asset_id,user_id
1,1
2,3
3,5
4,12
5,14
6,21
7,23
8,23
9,24
10,28
11,30
12,33
13,38
14,39
15,52
16,54
17,58
18,59
19,60
20,61
21,63
22,65
23,69
24,70
25,71
26,74
27,78
28,78
29,85
30,86
31,87
32,88
33,90
34,97
35,98
36,102
37,103
38,108
39,109
40,110
41,111
42,112
43,113
44,114
45,116
46,119
47,122
48,123
49,130
50,133
51,134
52,137
53,139
54,141
55,145
56,147
57,151
58,153
59,154
60,157
61,160
62,165
63,166
64,167
65,168
66,173
67,176
68,185
69,186
70,189
71,191
72,193
73,194
74,196
75,200
76,201
77,206
78,207
79,208
80,210
81,212
82,218
83,220
84,225
85,226
86,227
87,228
88,229
89,238
90,241
91,243
92,250
93,252
94,254
95,255
96,258
97,264
98,265
99,266
100,268
101,271
102,272
103,273
104,276
105,278
106,278
107,279
108,284
109,287
110,288
111,289
112,291
113,295
114,296
115,300
116,300
117,305
118,318
119,320
120,325
121,327
122,328
123,334
124,337
125,338
126,345
127,347
128,349
129,350
130,352
131,353
132,357
133,359
134,365
135,368
136,369
137,374
138,376
139,377
140,380
141,382
142,384
143,390
144,391
145,393
146,395
147,400
148,406
149,410
150,411
151,415
152,419
153,423
154,425
155,427
156,428
157,430
158,432
159,434
160,435
161,437
162,439
163,442
164,446
165,449
166,451
167,452
168,454
169,455
170,455
171,457
172,460
173,461
174,464
175,465
176,470
177,479
178,482
179,485
180,486
181,489
182,491
183,496
184,498
185,502
186,505
187,506
188,507
189,516
190,517
191,517
192,519
193,522
194,523
195,524
196,528
197,530
198,533
199,537
200,540
201,541
202,542
203,545
204,549
205,553
206,558
207,563
208,565
209,566
210,572
211,574
212,575
213,576
214,578
215,582
216,588
217,589
218,591
219,592
220,594
221,595
222,596
223,597
224,599
225,603
226,607
227,615
228,619
229,621
230,625
231,627
232,636
233,640
234,643
235,644
236,645
237,650
238,652
239,656
240,658
241,662
242,664
243,673
244,674
245,677
246,678
247,680
248,682
249,683
250,688
251,688
252,692
253,693
254,695
255,696
256,698
257,702
258,705
259,706
260,707
261,708
262,709
263,711
264,716
265,717
266,718
267,719
268,720
269,722
270,726
271,730
272,731
273,734
274,737
275,740
276,749
277,750
278,753
279,754
280,759
281,760
282,764
283,764
284,765
285,766
